"From.country","To.country","Jury.A","Jury.B","Jury.C","Jury.D","Jury.E","Jury.Rank","Televote.Rank","Jury.Points","Televote.Points"
"Armenia","Lithuania",16,15,16,10,19,14,21,NA,NA
"Armenia","Croatia",15,19,17,13,17,15,22,NA,NA
"Armenia","Russia",5,17,7,7,16,9,1,2,12
"Armenia","Spain",8,7,8,12,7,8,13,3,NA
"Armenia","Latvia",17,11,13,15,12,13,16,NA,NA
"Armenia","Ukraine",7,20,21,14,23,16,2,NA,10
"Armenia","Malta",3,5,3,4,3,3,6,8,5
"Armenia","Georgia",2,2,2,2,2,2,3,10,8
"Armenia","Austria",18,16,23,20,21,22,7,NA,4
"Armenia","United Kingdom",19,18,15,23,13,19,20,NA,NA
"Australia","Belgium",1,2,1,1,1,1,1,12,12
"Australia","Czech Republic",18,23,4,14,22,16,25,NA,NA
"Australia","The Netherlands",10,14,11,4,10,8,16,3,NA
"Australia","Azerbaijan",7,20,15,15,11,12,22,NA,NA
"Australia","Hungary",22,6,10,24,23,19,19,NA,NA
"Australia","Italy",11,16,24,16,16,17,23,NA,NA
"Australia","Israel",4,3,3,2,2,2,14,10,NA
"Australia","Bulgaria",2,1,7,3,3,3,2,8,10
"Australia","Sweden",16,21,22,17,25,23,20,NA,NA
"Australia","Germany",19,12,16,12,17,14,21,NA,NA
"Australia","France",5,7,13,7,5,5,4,6,7
"Australia","Poland",25,19,14,25,12,22,15,NA,NA
"Australia","Cyprus",23,18,6,20,21,20,13,NA,NA
"Australia","Serbia",8,17,21,13,7,11,17,NA,NA
"Australia","Lithuania",6,4,5,5,4,4,10,7,1
"Australia","Croatia",17,8,8,19,13,10,18,1,NA
"Australia","Russia",24,13,17,22,8,18,6,NA,5
"Australia","Spain",3,5,18,6,6,6,9,5,2
"Australia","Latvia",14,9,25,8,24,15,11,NA,NA
"Australia","Ukraine",13,10,9,9,9,9,3,2,8
"Australia","Malta",15,24,19,18,14,21,5,NA,6
"Australia","Georgia",21,25,20,21,18,25,24,NA,NA
"Australia","Austria",20,15,23,23,20,24,8,NA,3
"Australia","United Kingdom",9,11,2,11,15,7,7,4,4
"Australia","Armenia",12,22,12,10,19,13,12,NA,NA
"Austria","Belgium",1,12,10,6,9,6,14,5,NA
"Austria","Czech Republic",12,7,7,9,7,7,23,4,NA
"Austria","The Netherlands",9,11,11,7,16,11,5,NA,6
"Austria","Azerbaijan",23,17,9,8,5,12,24,NA,NA
"Austria","Hungary",14,16,17,25,19,19,11,NA,NA
"Austria","Italy",22,18,13,11,22,17,13,NA,NA
"Austria","Israel",10,14,12,12,15,13,17,NA,NA
"Austria","Bulgaria",6,10,14,17,20,14,6,NA,5
"Austria","Sweden",3,5,4,10,4,3,4,8,7
"Austria","Germany",17,21,24,19,18,23,9,NA,2
"Austria","France",5,3,3,18,3,4,10,7,1
"Austria","Poland",20,25,25,23,25,25,1,NA,12
"Austria","Australia",2,1,1,1,2,1,8,12,3
"Austria","Cyprus",24,19,21,20,21,24,16,NA,NA
"Austria","Serbia",13,13,23,24,24,22,7,NA,4
"Austria","Lithuania",16,6,6,16,10,10,20,1,NA
"Austria","Croatia",8,9,5,5,8,5,19,6,NA
"Austria","Russia",21,8,8,4,6,8,3,3,8
"Austria","Spain",19,20,20,3,11,15,15,NA,NA
"Austria","Latvia",18,24,19,22,13,21,18,NA,NA
"Austria","Ukraine",15,15,16,13,23,16,2,NA,10
"Austria","Malta",11,2,2,2,1,2,25,10,NA
"Austria","Georgia",25,23,15,14,17,20,21,NA,NA
"Austria","United Kingdom",7,22,22,21,14,18,22,NA,NA
"Austria","Armenia",4,4,18,15,12,9,12,2,NA
"Azerbaijan","Belgium",17,11,23,23,23,22,16,NA,NA
"Azerbaijan","Czech Republic",10,23,14,18,10,16,20,NA,NA
"Azerbaijan","The Netherlands",4,14,21,11,16,13,19,NA,NA
"Azerbaijan","Hungary",3,22,8,6,3,7,4,4,7
"Azerbaijan","Italy",13,21,19,19,21,21,13,NA,NA
"Azerbaijan","Israel",6,6,4,7,20,8,5,3,6
"Azerbaijan","Bulgaria",7,2,6,5,9,3,3,8,8
"Azerbaijan","Sweden",23,16,18,16,17,20,12,NA,NA
"Azerbaijan","Germany",20,19,17,24,22,23,22,NA,NA
"Azerbaijan","France",12,9,5,20,18,12,7,NA,4
"Azerbaijan","Poland",14,4,11,10,6,9,8,2,3
"Azerbaijan","Australia",11,7,3,8,5,4,9,7,2
"Azerbaijan","Cyprus",16,20,22,12,19,19,17,NA,NA
"Azerbaijan","Serbia",21,15,10,21,15,18,24,NA,NA
"Azerbaijan","Lithuania",8,12,7,9,4,6,18,5,NA
"Azerbaijan","Croatia",9,8,20,14,8,11,21,NA,NA
"Azerbaijan","Russia",1,1,1,1,1,1,1,12,12
"Azerbaijan","Spain",15,10,12,15,7,10,15,1,NA
"Azerbaijan","Latvia",22,13,15,17,13,17,14,NA,NA
"Azerbaijan","Ukraine",2,3,2,2,2,2,2,10,10
"Azerbaijan","Malta",5,5,9,3,14,5,6,6,5
"Azerbaijan","Georgia",24,24,24,22,24,24,10,NA,1
"Azerbaijan","Austria",18,18,13,13,11,15,11,NA,NA
"Azerbaijan","United Kingdom",19,17,16,4,12,14,23,NA,NA
"Azerbaijan","Armenia",25,25,25,25,25,25,25,NA,NA
"Belarus","Belgium",10,7,7,4,9,7,18,4,NA
"Belarus","Czech Republic",22,24,17,16,19,20,25,NA,NA
"Belarus","The Netherlands",12,11,6,12,18,11,21,NA,NA
"Belarus","Azerbaijan",13,12,12,11,8,9,3,2,8
"Belarus","Hungary",7,25,18,6,10,13,8,NA,3
"Belarus","Italy",23,10,23,24,17,19,19,NA,NA
"Belarus","Israel",11,23,22,13,12,16,16,NA,NA
"Belarus","Bulgaria",8,9,13,17,11,10,7,1,4
"Belarus","Sweden",3,3,3,5,3,3,9,8,2
"Belarus","Germany",25,19,24,19,21,23,20,NA,NA
"Belarus","France",19,20,19,20,14,18,14,NA,NA
"Belarus","Poland",16,21,5,9,22,14,5,NA,6
"Belarus","Australia",9,4,8,2,7,5,10,6,1
"Belarus","Cyprus",14,15,14,22,23,17,11,NA,NA
"Belarus","Serbia",20,22,21,21,16,22,24,NA,NA
"Belarus","Lithuania",2,8,1,1,4,2,12,10,NA
"Belarus","Croatia",17,16,26,14,25,21,23,NA,NA
"Belarus","Russia",1,1,2,3,2,1,1,12,12
"Belarus","Spain",15,5,10,18,15,12,17,NA,NA
"Belarus","Latvia",21,17,25,23,24,24,6,NA,5
"Belarus","Ukraine",4,6,4,7,1,4,2,7,10
"Belarus","Malta",6,2,9,8,6,6,22,5,NA
"Belarus","Georgia",18,18,11,15,13,15,15,NA,NA
"Belarus","Austria",26,13,20,26,26,26,13,NA,NA
"Belarus","United Kingdom",24,26,15,25,20,25,26,NA,NA
"Belarus","Armenia",5,14,16,10,5,8,4,3,7
"Belgium","Czech Republic",13,14,8,8,9,10,23,1,NA
"Belgium","The Netherlands",3,4,13,7,10,7,2,4,10
"Belgium","Azerbaijan",24,18,24,19,20,24,22,NA,NA
"Belgium","Hungary",22,25,21,14,11,20,19,NA,NA
"Belgium","Italy",2,6,5,1,3,2,13,10,NA
"Belgium","Israel",6,8,15,15,7,9,17,2,NA
"Belgium","Bulgaria",5,7,10,6,8,5,6,6,5
"Belgium","Sweden",25,16,19,20,24,23,10,NA,1
"Belgium","Germany",16,17,9,21,12,14,21,NA,NA
"Belgium","France",4,1,1,12,16,3,3,8,8
"Belgium","Poland",18,13,25,16,19,19,1,NA,12
"Belgium","Australia",1,2,2,3,1,1,7,12,4
"Belgium","Cyprus",17,20,11,22,14,18,14,NA,NA
"Belgium","Serbia",14,12,20,23,13,16,24,NA,NA
"Belgium","Lithuania",7,21,16,17,18,15,12,NA,NA
"Belgium","Croatia",19,22,18,9,15,17,25,NA,NA
"Belgium","Russia",15,5,7,10,17,11,5,NA,6
"Belgium","Spain",8,11,6,24,6,12,11,NA,NA
"Belgium","Latvia",21,19,22,11,25,22,16,NA,NA
"Belgium","Ukraine",20,10,4,5,2,8,9,3,2
"Belgium","Malta",10,24,17,25,21,21,15,NA,NA
"Belgium","Georgia",12,3,14,2,5,4,20,7,NA
"Belgium","Austria",11,15,3,4,4,6,8,5,3
"Belgium","United Kingdom",9,9,12,13,22,13,18,NA,NA
"Belgium","Armenia",23,23,23,18,23,25,4,NA,7
"Bosnia & Herzegovina","Belgium",14,16,12,6,17,12,15,NA,NA
"Bosnia & Herzegovina","Czech Republic",3,6,8,4,5,5,20,6,NA
"Bosnia & Herzegovina","The Netherlands",18,17,22,22,22,22,21,NA,NA
"Bosnia & Herzegovina","Azerbaijan",19,5,13,10,15,10,3,1,8
"Bosnia & Herzegovina","Hungary",12,19,14,13,13,13,10,NA,1
"Bosnia & Herzegovina","Italy",22,23,25,23,18,25,18,NA,NA
"Bosnia & Herzegovina","Israel",20,15,26,11,16,18,24,NA,NA
"Bosnia & Herzegovina","Bulgaria",4,12,5,12,11,8,9,3,2
"Bosnia & Herzegovina","Sweden",24,20,15,14,20,19,11,NA,NA
"Bosnia & Herzegovina","Germany",25,14,11,15,12,16,16,NA,NA
"Bosnia & Herzegovina","France",7,4,4,8,3,4,7,7,4
"Bosnia & Herzegovina","Poland",15,21,16,21,21,20,14,NA,NA
"Bosnia & Herzegovina","Australia",2,1,2,5,2,2,8,10,3
"Bosnia & Herzegovina","Cyprus",13,8,17,24,19,17,13,NA,NA
"Bosnia & Herzegovina","Serbia",6,7,3,1,7,3,1,8,12
"Bosnia & Herzegovina","Lithuania",26,25,21,9,25,24,23,NA,NA
"Bosnia & Herzegovina","Croatia",9,9,9,3,8,7,2,4,10
"Bosnia & Herzegovina","Russia",8,3,10,7,6,6,5,5,6
"Bosnia & Herzegovina","Spain",16,18,7,25,9,15,17,NA,NA
"Bosnia & Herzegovina","Latvia",11,22,6,16,10,11,22,NA,NA
"Bosnia & Herzegovina","Ukraine",1,2,1,2,1,1,4,12,7
"Bosnia & Herzegovina","Malta",10,11,18,18,14,14,19,NA,NA
"Bosnia & Herzegovina","Georgia",23,24,19,17,23,23,26,NA,NA
"Bosnia & Herzegovina","Austria",21,26,23,26,26,26,6,NA,5
"Bosnia & Herzegovina","United Kingdom",17,13,24,19,24,21,25,NA,NA
"Bosnia & Herzegovina","Armenia",5,10,20,20,4,9,12,2,NA
"Bulgaria","Belgium",4,4,1,3,2,2,13,10,NA
"Bulgaria","Czech Republic",16,22,16,15,12,16,24,NA,NA
"Bulgaria","The Netherlands",17,11,18,5,8,9,23,2,NA
"Bulgaria","Azerbaijan",18,12,21,22,13,18,10,NA,1
"Bulgaria","Hungary",23,9,15,24,25,21,16,NA,NA
"Bulgaria","Italy",22,24,22,18,17,24,18,NA,NA
"Bulgaria","Israel",20,8,8,13,15,12,9,NA,2
"Bulgaria","Sweden",10,17,19,25,22,20,8,NA,3
"Bulgaria","Germany",24,14,23,21,21,25,22,NA,NA
"Bulgaria","France",15,21,20,20,20,22,12,NA,NA
"Bulgaria","Poland",11,23,12,7,10,11,5,NA,6
"Bulgaria","Australia",5,3,2,4,1,3,6,8,5
"Bulgaria","Cyprus",21,19,24,19,19,23,4,NA,7
"Bulgaria","Serbia",2,7,4,11,7,6,11,5,NA
"Bulgaria","Lithuania",12,6,9,17,18,10,15,1,NA
"Bulgaria","Croatia",19,18,17,16,6,15,25,NA,NA
"Bulgaria","Russia",1,10,5,10,4,5,1,6,12
"Bulgaria","Spain",7,16,10,6,11,7,17,4,NA
"Bulgaria","Latvia",8,13,11,9,23,14,14,NA,NA
"Bulgaria","Ukraine",25,5,7,23,24,17,2,NA,10
"Bulgaria","Malta",9,2,13,1,5,4,19,7,NA
"Bulgaria","Georgia",6,20,6,8,16,8,20,3,NA
"Bulgaria","Austria",13,25,25,14,14,19,7,NA,4
"Bulgaria","United Kingdom",14,15,14,12,9,13,21,NA,NA
"Bulgaria","Armenia",3,1,3,2,3,1,3,12,8
"Croatia","Belgium",6,18,18,15,6,12,18,NA,NA
"Croatia","Czech Republic",18,7,2,1,2,2,20,10,NA
"Croatia","The Netherlands",1,21,13,21,9,14,15,NA,NA
"Croatia","Azerbaijan",17,9,20,9,20,19,14,NA,NA
"Croatia","Hungary",11,15,12,2,3,6,8,5,3
"Croatia","Italy",5,3,5,17,16,8,11,3,NA
"Croatia","Israel",3,8,6,8,12,4,22,7,NA
"Croatia","Bulgaria",25,16,19,16,15,20,10,NA,1
"Croatia","Sweden",10,19,7,19,17,18,4,NA,7
"Croatia","Germany",14,23,25,25,25,24,16,NA,NA
"Croatia","France",2,4,11,10,7,3,9,8,2
"Croatia","Poland",16,10,21,18,5,17,7,NA,4
"Croatia","Australia",4,6,8,4,1,1,6,12,5
"Croatia","Cyprus",9,17,10,11,4,10,13,1,NA
"Croatia","Serbia",12,11,4,7,14,9,1,2,12
"Croatia","Lithuania",8,20,14,14,11,15,23,NA,NA
"Croatia","Russia",19,2,3,6,10,5,3,6,8
"Croatia","Spain",22,22,22,20,21,22,19,NA,NA
"Croatia","Latvia",23,5,15,5,8,11,17,NA,NA
"Croatia","Ukraine",24,12,1,12,19,16,2,NA,10
"Croatia","Malta",7,14,16,13,13,13,24,NA,NA
"Croatia","Georgia",21,25,23,24,24,25,21,NA,NA
"Croatia","Austria",20,13,17,22,22,21,5,NA,6
"Croatia","United Kingdom",13,24,24,23,23,23,25,NA,NA
"Croatia","Armenia",15,1,9,3,18,7,12,4,NA
"Cyprus","Belgium",16,19,22,22,18,23,17,NA,NA
"Cyprus","Czech Republic",10,13,19,13,8,11,24,NA,NA
"Cyprus","The Netherlands",23,14,18,23,24,24,20,NA,NA
"Cyprus","Azerbaijan",6,8,16,6,22,9,11,2,NA
"Cyprus","Hungary",19,7,5,15,6,7,7,4,4
"Cyprus","Italy",11,10,12,9,11,8,12,3,NA
"Cyprus","Israel",7,11,6,4,9,6,15,5,NA
"Cyprus","Bulgaria",15,12,24,21,12,17,1,NA,12
"Cyprus","Sweden",13,15,7,16,13,14,10,NA,1
"Cyprus","Germany",9,21,23,17,20,20,22,NA,NA
"Cyprus","France",14,6,2,5,5,4,5,7,6
"Cyprus","Poland",24,24,25,25,25,25,9,NA,2
"Cyprus","Australia",2,3,3,2,3,2,6,10,5
"Cyprus","Serbia",5,16,8,24,10,13,16,NA,NA
"Cyprus","Lithuania",18,17,10,3,17,15,8,NA,3
"Cyprus","Croatia",3,18,15,11,15,10,25,1,NA
"Cyprus","Russia",1,1,1,1,1,1,2,12,10
"Cyprus","Spain",21,23,9,14,14,16,21,NA,NA
"Cyprus","Latvia",20,5,13,18,7,12,14,NA,NA
"Cyprus","Ukraine",22,4,20,19,19,18,4,NA,7
"Cyprus","Malta",8,9,4,7,4,5,18,6,NA
"Cyprus","Georgia",25,22,14,12,21,22,23,NA,NA
"Cyprus","Austria",17,25,21,10,16,19,13,NA,NA
"Cyprus","United Kingdom",12,20,17,20,23,21,19,NA,NA
"Cyprus","Armenia",4,2,11,8,2,3,3,8,8
"Czech Republic","Belgium",13,8,6,12,14,9,20,2,NA
"Czech Republic","The Netherlands",2,6,3,7,6,4,18,7,NA
"Czech Republic","Azerbaijan",20,12,12,17,16,17,5,NA,6
"Czech Republic","Hungary",4,2,2,6,2,2,8,10,3
"Czech Republic","Italy",9,20,19,8,18,16,22,NA,NA
"Czech Republic","Israel",14,23,17,23,23,21,16,NA,NA
"Czech Republic","Bulgaria",21,7,18,11,11,14,6,NA,5
"Czech Republic","Sweden",1,1,1,1,1,1,9,12,2
"Czech Republic","Germany",24,22,23,16,20,22,19,NA,NA
"Czech Republic","France",7,13,4,5,4,6,11,5,NA
"Czech Republic","Poland",23,21,21,22,22,23,4,NA,7
"Czech Republic","Australia",3,10,10,15,17,11,10,NA,1
"Czech Republic","Cyprus",22,18,25,18,9,19,12,NA,NA
"Czech Republic","Serbia",25,19,16,19,21,20,13,NA,NA
"Czech Republic","Lithuania",8,14,9,10,8,8,15,3,NA
"Czech Republic","Croatia",5,3,8,2,3,3,25,8,NA
"Czech Republic","Russia",18,25,24,25,25,25,2,NA,10
"Czech Republic","Spain",10,17,15,20,10,15,17,NA,NA
"Czech Republic","Latvia",11,11,11,14,7,10,14,1,NA
"Czech Republic","Ukraine",19,24,22,24,24,24,1,NA,12
"Czech Republic","Malta",12,4,7,4,5,5,24,6,NA
"Czech Republic","Georgia",6,9,20,13,15,13,21,NA,NA
"Czech Republic","Austria",16,16,5,9,12,12,7,NA,4
"Czech Republic","United Kingdom",15,5,13,3,13,7,23,4,NA
"Czech Republic","Armenia",17,15,14,21,19,18,3,NA,8
"Denmark","Belgium",3,22,8,8,3,3,3,8,8
"Denmark","Czech Republic",17,10,16,19,19,19,25,NA,NA
"Denmark","The Netherlands",2,25,12,6,4,4,4,7,7
"Denmark","Azerbaijan",23,14,25,26,13,26,22,NA,NA
"Denmark","Hungary",16,12,21,20,22,24,17,NA,NA
"Denmark","Italy",14,18,13,11,12,12,14,NA,NA
"Denmark","Israel",11,19,2,16,9,9,16,2,NA
"Denmark","Bulgaria",7,16,4,17,6,5,11,6,NA
"Denmark","Sweden",5,20,17,10,2,7,1,4,12
"Denmark","Germany",20,6,14,24,23,23,19,NA,NA
"Denmark","France",6,23,18,2,20,14,9,NA,2
"Denmark","Poland",21,17,15,18,26,25,6,NA,5
"Denmark","Australia",1,26,1,1,1,2,2,10,10
"Denmark","Cyprus",26,9,9,21,10,16,18,NA,NA
"Denmark","Serbia",25,5,22,12,14,18,24,NA,NA
"Denmark","Lithuania",13,15,7,7,11,6,5,5,6
"Denmark","Croatia",12,3,23,22,25,22,26,NA,NA
"Denmark","Russia",9,24,11,9,15,13,7,NA,4
"Denmark","Spain",22,21,6,3,8,10,12,1,NA
"Denmark","Latvia",18,13,19,4,16,15,13,NA,NA
"Denmark","Ukraine",4,2,3,14,5,1,8,12,3
"Denmark","Malta",19,8,24,13,17,20,23,NA,NA
"Denmark","Georgia",24,1,10,23,24,21,20,NA,NA
"Denmark","Austria",10,7,26,15,18,17,10,NA,1
"Denmark","United Kingdom",8,11,5,25,7,8,15,3,NA
"Denmark","Armenia",15,4,20,5,21,11,21,NA,NA
"Estonia","Belgium",13,18,17,4,12,14,19,NA,NA
"Estonia","Czech Republic",18,23,5,13,19,17,25,NA,NA
"Estonia","The Netherlands",8,4,4,7,13,5,12,6,NA
"Estonia","Azerbaijan",14,15,20,21,18,19,18,NA,NA
"Estonia","Hungary",19,2,19,26,11,16,11,NA,NA
"Estonia","Italy",10,6,10,24,9,11,13,NA,NA
"Estonia","Israel",25,21,18,25,14,24,22,NA,NA
"Estonia","Bulgaria",20,17,24,17,21,22,14,NA,NA
"Estonia","Sweden",2,3,1,1,1,1,2,12,10
"Estonia","Germany",21,20,25,16,22,25,23,NA,NA
"Estonia","France",17,1,9,15,15,10,9,1,2
"Estonia","Poland",22,9,23,22,23,23,10,NA,1
"Estonia","Australia",3,11,2,5,7,2,7,10,4
"Estonia","Cyprus",12,5,13,19,6,7,8,4,3
"Estonia","Serbia",26,24,26,20,24,26,26,NA,NA
"Estonia","Lithuania",7,14,8,9,2,6,6,5,5
"Estonia","Croatia",11,19,16,12,5,13,24,NA,NA
"Estonia","Russia",16,10,11,18,26,18,1,NA,12
"Estonia","Spain",24,25,15,14,10,20,17,NA,NA
"Estonia","Latvia",4,7,7,8,4,3,4,8,7
"Estonia","Ukraine",1,8,3,3,20,4,3,7,8
"Estonia","Malta",6,22,6,6,17,9,20,2,NA
"Estonia","Georgia",23,26,22,2,3,15,15,NA,NA
"Estonia","Austria",9,16,21,23,25,21,5,NA,6
"Estonia","United Kingdom",5,13,12,10,16,8,21,3,NA
"Estonia","Armenia",15,12,14,11,8,12,16,NA,NA
"F.Y.R. Macedonia","Belgium",19,7,11,4,13,7,7,4,4
"F.Y.R. Macedonia","Czech Republic",20,15,10,11,18,17,25,NA,NA
"F.Y.R. Macedonia","The Netherlands",5,8,24,2,24,9,19,2,NA
"F.Y.R. Macedonia","Azerbaijan",21,16,8,12,10,10,24,1,NA
"F.Y.R. Macedonia","Hungary",22,24,12,13,8,20,14,NA,NA
"F.Y.R. Macedonia","Italy",11,17,21,14,21,22,10,NA,1
"F.Y.R. Macedonia","Israel",14,6,7,15,12,6,16,5,NA
"F.Y.R. Macedonia","Bulgaria",6,4,4,3,7,2,2,10,10
"F.Y.R. Macedonia","Sweden",10,13,23,1,22,13,15,NA,NA
"F.Y.R. Macedonia","Germany",18,25,17,16,23,24,23,NA,NA
"F.Y.R. Macedonia","France",12,14,19,17,11,16,11,NA,NA
"F.Y.R. Macedonia","Poland",2,23,9,18,17,12,9,NA,2
"F.Y.R. Macedonia","Australia",7,3,3,9,3,3,8,8,3
"F.Y.R. Macedonia","Cyprus",23,18,25,19,25,25,17,NA,NA
"F.Y.R. Macedonia","Serbia",3,2,2,20,1,4,1,7,12
"F.Y.R. Macedonia","Lithuania",24,22,5,21,5,19,18,NA,NA
"F.Y.R. Macedonia","Croatia",9,11,6,7,14,5,6,6,5
"F.Y.R. Macedonia","Russia",1,9,18,22,19,11,3,NA,8
"F.Y.R. Macedonia","Spain",13,21,20,6,9,14,20,NA,NA
"F.Y.R. Macedonia","Latvia",17,5,22,10,6,8,13,3,NA
"F.Y.R. Macedonia","Ukraine",4,1,1,5,2,1,5,12,6
"F.Y.R. Macedonia","Malta",25,19,14,23,15,23,21,NA,NA
"F.Y.R. Macedonia","Georgia",26,20,26,24,26,26,26,NA,NA
"F.Y.R. Macedonia","Austria",8,10,13,25,20,18,12,NA,NA
"F.Y.R. Macedonia","United Kingdom",15,26,16,8,16,21,22,NA,NA
"F.Y.R. Macedonia","Armenia",16,12,15,26,4,15,4,NA,7
"Finland","Belgium",18,22,14,19,17,22,17,NA,NA
"Finland","Czech Republic",14,6,7,16,7,8,22,3,NA
"Finland","The Netherlands",4,2,8,7,8,2,13,10,NA
"Finland","Azerbaijan",23,25,16,21,19,23,24,NA,NA
"Finland","Hungary",21,23,21,25,20,25,12,NA,NA
"Finland","Italy",16,11,10,3,12,9,16,2,NA
"Finland","Israel",12,7,12,4,1,4,14,7,NA
"Finland","Bulgaria",9,17,17,9,22,15,7,NA,4
"Finland","Sweden",2,1,3,1,6,1,2,12,10
"Finland","Germany",13,19,24,10,14,19,25,NA,NA
"Finland","France",17,20,4,11,3,10,8,1,3
"Finland","Poland",10,21,11,22,21,20,6,NA,5
"Finland","Australia",3,3,15,8,4,3,4,8,7
"Finland","Cyprus",24,26,25,24,26,26,10,NA,1
"Finland","Serbia",22,24,13,26,24,24,26,NA,NA
"Finland","Lithuania",5,14,2,17,2,5,11,6,NA
"Finland","Croatia",11,15,23,20,10,18,20,NA,NA
"Finland","Russia",26,10,6,18,11,14,3,NA,8
"Finland","Spain",19,12,1,12,23,12,15,NA,NA
"Finland","Latvia",7,16,26,14,5,13,9,NA,2
"Finland","Ukraine",8,5,22,6,15,11,1,NA,12
"Finland","Malta",6,8,5,5,18,6,23,5,NA
"Finland","Georgia",25,18,9,13,25,21,19,NA,NA
"Finland","Austria",1,4,20,2,16,7,5,4,6
"Finland","United Kingdom",20,9,19,15,13,16,21,NA,NA
"Finland","Armenia",15,13,18,23,9,17,18,NA,NA
"France","Belgium",16,19,10,16,5,12,7,NA,4
"France","Czech Republic",17,11,12,12,14,11,23,NA,NA
"France","The Netherlands",2,6,11,8,3,4,15,7,NA
"France","Azerbaijan",22,14,13,15,4,14,20,NA,NA
"France","Hungary",21,13,14,21,11,20,14,NA,NA
"France","Italy",1,9,1,1,13,1,11,12,NA
"France","Israel",9,23,21,2,22,17,8,NA,3
"France","Bulgaria",3,3,4,6,10,2,6,10,5
"France","Sweden",10,1,5,5,12,6,9,5,2
"France","Germany",24,7,8,14,17,16,18,NA,NA
"France","Poland",25,22,25,24,20,25,4,NA,7
"France","Australia",4,4,3,4,15,5,12,6,NA
"France","Cyprus",14,16,15,17,16,18,13,NA,NA
"France","Serbia",15,21,22,25,24,22,17,NA,NA
"France","Lithuania",19,12,20,11,18,21,19,NA,NA
"France","Croatia",11,18,16,13,9,13,24,NA,NA
"France","Russia",18,10,9,20,6,10,5,1,6
"France","Spain",8,5,7,19,2,8,10,3,1
"France","Latvia",23,24,19,23,23,23,22,NA,NA
"France","Ukraine",12,2,24,10,21,15,2,NA,10
"France","Malta",6,17,6,3,8,7,25,4,NA
"France","Georgia",20,25,23,22,25,24,21,NA,NA
"France","Austria",7,8,2,9,1,3,3,8,8
"France","United Kingdom",5,20,18,18,19,19,16,NA,NA
"France","Armenia",13,15,17,7,7,9,1,2,12
"Georgia","Belgium",1,3,3,9,4,2,21,10,NA
"Georgia","Czech Republic",15,10,13,15,14,12,20,NA,NA
"Georgia","The Netherlands",8,19,24,14,9,15,15,NA,NA
"Georgia","Azerbaijan",16,20,12,19,20,21,4,NA,7
"Georgia","Hungary",7,21,20,20,13,19,9,NA,2
"Georgia","Italy",9,22,23,4,15,14,14,NA,NA
"Georgia","Israel",18,11,5,11,8,8,19,3,NA
"Georgia","Bulgaria",24,23,14,22,25,24,8,NA,3
"Georgia","Sweden",3,13,4,6,2,5,11,6,NA
"Georgia","Germany",19,14,10,8,12,10,13,1,NA
"Georgia","France",17,15,8,1,7,7,18,4,NA
